relative_path,source_name,sha256,size_bytes,category,status
handoff/READY_FOR_CODEX_HANDOFF_skladove_karty.md,READY_FOR_CODEX_HANDOFF_skladove_karty.md,9b09df4b29710a2b3efaec1a1c0528da3702ef295c508c6e910edaa84b053336,33846,handoff,INCLUDED
evidence/ui/27407336-a38d-491a-a7d2-73643b3e1df8.png,27407336-a38d-491a-a7d2-73643b3e1df8.png,e65b2c78b3cee47ca16d408ea616c3d4c543c2fc388c55739e72275e01fc205b,394596,ui,INCLUDED
evidence/ui/2cced55a-978c-496b-8746-c6fb5c7a4393.png,2cced55a-978c-496b-8746-c6fb5c7a4393.png,71ac60f3de0888d40afad396840fc7b2c15d9927082e1086aac9625332f71da2,370802,ui,INCLUDED
evidence/ui/35ec7a68-0e1a-4e8a-90a7-a1e2c4ae027b.png,35ec7a68-0e1a-4e8a-90a7-a1e2c4ae027b.png,fdd890b10fe6a7a69b29141b0fefb5dd4b6dbe210e93b8894e16fcc6f12f4cdc,408127,ui,INCLUDED
evidence/ui/3fedbd14-6be7-4c36-b96c-a73f90c13df2.png,3fedbd14-6be7-4c36-b96c-a73f90c13df2.png,1d03b4c197ef44ed0f33a7c663dab1325831edaf03ca16ff0870da9ce688d9fc,559502,ui,INCLUDED
evidence/ui/59d4e071-f8f3-41d5-b4b6-37832af3989c.png,59d4e071-f8f3-41d5-b4b6-37832af3989c.png,c9be52a43979c42d924d389ee68472b5569151b66bdef4bcb0bca567a2261b79,626846,ui,INCLUDED
evidence/ui/75cddf43-f302-49d6-8f7d-12fbf58b90b7.png,75cddf43-f302-49d6-8f7d-12fbf58b90b7.png,631dfaa8445c553d1a545024c716399e28e3a17a8b0d6e3792685498f2fbf1b0,337143,ui,INCLUDED
evidence/ui/84913f84-9692-41cc-a634-8edb72f3c9d8.png,84913f84-9692-41cc-a634-8edb72f3c9d8.png,b70c1b1154c0393eb7eaeb5b8061a1d51a64a95bb3fd19bf288beb2061935658,586986,ui,INCLUDED
evidence/ui/9757b49d-215e-45e7-bae4-6366c257ab52.png,9757b49d-215e-45e7-bae4-6366c257ab52.png,1251e175342f4ff192d84069353ba0523ce4499e90944cfcc560663451baaf0c,301735,ui,INCLUDED
evidence/mapping-packs/Číslovenie%20skladových%20kariet.xlsx,Číslovenie%20skladových%20kariet.xlsx,f49c47717e2977390088c4aef24486b8a6c0ddffa1ec270901808f3829b26e41,10573,mapping-packs,INCLUDED
evidence/mapping-packs/LC-01 — všetci source-visible calleri lifecycle procedúr.xlsx,LC-01 — všetci source-visible calleri lifecycle procedúr.xlsx,327c213162827c9ffafce24dd6c3349d511ab3468e695ee4ec098abf1331608f,9852,mapping-packs,INCLUDED
evidence/mapping-packs/LC-02 — úplný downstream MC_UKONCENY_PREDAJ_SK.xlsx,LC-02 — úplný downstream MC_UKONCENY_PREDAJ_SK.xlsx,5052a86e078b9b698671520346f897cdb895925fa506f18a77dcf9ee1e4a93cc,17800,mapping-packs,INCLUDED
evidence/mapping-packs/LC-04 — current population test automatizácie vypredaj a zasoba.xlsx,LC-04 — current population test automatizácie vypredaj a zasoba.xlsx,62adaa1adf3599adfb9d3df3cb60a493d9ac92108799e465dcaf8f8de9ff506b,18938,mapping-packs,INCLUDED
evidence/mapping-packs/LC-05 — status writer caller context.xlsx,LC-05 — status writer caller context.xlsx,f98a91a02e607dd3f4368206b49402cb3d814c641b6ea25ab4a272429a6f0a97,39002,mapping-packs,INCLUDED
evidence/mapping-packs/LC-06 — runtime evidence forecast zeroing.xlsx,LC-06 — runtime evidence forecast zeroing.xlsx,79184824ece4dcbcb03b9f48dc86d9fd327a0e3d416e3fc07e76052ace3711a8,48940,mapping-packs,INCLUDED
evidence/mapping-packs/LC-07 — Nezadaný dôvod blokácie constant.xlsx,LC-07 — Nezadaný dôvod blokácie constant.xlsx,70b5a1ed5b9ada14efe132c5f9b27b501a7163db59750168d9b275dab620ce90,9326,mapping-packs,INCLUDED
evidence/mapping-packs/LC-08 — C_CIS_STAV_HIST PoznacZmenuDBPola.xlsx,LC-08 — C_CIS_STAV_HIST PoznacZmenuDBPola.xlsx,821d1f19b959184e407dcd33cc50638c389989ca17e3a1412195601bb2eb0454,18929,mapping-packs,INCLUDED
evidence/mapping-packs/LM-01A — kandidátne tabuľky logistického masteru.xlsx,LM-01A — kandidátne tabuľky logistického masteru.xlsx,575cfb6ecc02c51e85079e76a34b2e98c35296860cc9f858e1846e4fbb85ccb9,60281,mapping-packs,INCLUDED
evidence/mapping-packs/LM-01B — deklarované FK okolo SKLAD_KARTA_LB.xlsx,LM-01B — deklarované FK okolo SKLAD_KARTA_LB.xlsx,d3504041e2acfc3c4c8f246990dc294d1ee390a2df7b51adfb025391b2c46de3,13797,mapping-packs,INCLUDED
evidence/mapping-packs/LM-01C — fyzický inventár SKLAD_KARTA_LB + B_KOD_U.xlsx,LM-01C — fyzický inventár SKLAD_KARTA_LB + B_KOD_U.xlsx,075677d4be0e307fd49feebf35f86cadcdff3dddd075c2d1d8db5c23eee820af,14725,mapping-packs,INCLUDED
evidence/mapping-packs/LM-01D — source-dependency surface logistických tabuliek.xlsx,LM-01D — source-dependency surface logistických tabuliek.xlsx,902229f5455219e32d700e672f470ce99725820099c30fabfaf6b4da54ef7389,12317,mapping-packs,INCLUDED
evidence/mapping-packs/LM-02A — úplný physical inventory štyroch objektov.xlsx,LM-02A — úplný physical inventory štyroch objektov.xlsx,21ebecdaefd442eca77b3a4f8b1f4c7bbb36016c734b013bfe546c2cdb84f690,27233,mapping-packs,INCLUDED
evidence/mapping-packs/LM-02B — constraints + declared relationships.xlsx,LM-02B — constraints + declared relationships.xlsx,ec085a13b9db7bb7883921035f95d2d45ae82d4c986a3011f45f855e21f51ae1,18718,mapping-packs,INCLUDED
evidence/mapping-packs/LM-02B2 — logistics master check constraints.xlsx,LM-02B2 — logistics master check constraints.xlsx,6909f1dc6204aa0400781d10a3fd26e83c0765eac753990a5924e4fa5d73a3d6,12704,mapping-packs,INCLUDED
evidence/mapping-packs/LM-02C — indexes.xlsx,LM-02C — indexes.xlsx,f8863b63237f5913d3a9a086eee5b196c1ab66d79932532941e6a4ef9f760f15,11053,mapping-packs,INCLUDED
evidence/mapping-packs/LM-02D — kompletný source triggerov.xlsx,LM-02D — kompletný source triggerov.xlsx,b869228bdaa8b78a7697ffe0c4a248781a9952daa2ecdcca4e7e7547b073ef64,25641,mapping-packs,INCLUDED
evidence/mapping-packs/LM-02E — live population a JOIN-cardinality closure.xlsx,LM-02E — live population a JOIN-cardinality closure.xlsx,ef7e504f8ddfe12b15561d3b9cc3dd295a51ee2605c5082153ce4e52b0efb956,9925,mapping-packs,INCLUDED
evidence/mapping-packs/LM-02F — package source.xlsx,LM-02F — package source.xlsx,c9859d7b10f8ee00f9d6d07bf7b1f39b8c82086615ef8f76ec496a3b85649900,157357,mapping-packs,INCLUDED
evidence/mapping-packs/LM-02G — global source-hit index.xlsx,LM-02G — global source-hit index.xlsx,fde8db244d5e8e11a55ffa9c7ded8f680c2ea2b6e5887e88665cb2e53b072b4c,93116,mapping-packs,INCLUDED
evidence/mapping-packs/LM-02H — čitateľná current hierarchy sample.xlsx,LM-02H — čitateľná current hierarchy sample.xlsx,289e19be5636c957ad57753a43562b942ecf761b535f28b8d877d413f8f55337,211574,mapping-packs,INCLUDED
evidence/mapping-packs/LM-03A — active logistics coverage a hlavné balenie.xlsx,LM-03A — active logistics coverage a hlavné balenie.xlsx,96d3a3fd1f099484fd873b486c0fb383f45618e15f36d3203c5a2b60173edaf9,9481,mapping-packs,INCLUDED
evidence/mapping-packs/LM-03B — logistics readiness po jednej SKU.xlsx,LM-03B — logistics readiness po jednej SKU.xlsx,45cbeb546d1161e5cc9441f00c708099ec481d0fcf3f2df09e84c86dea5a44ae,89487,mapping-packs,INCLUDED
evidence/mapping-packs/LM-03C — LB - B_KOD_U consistency audit.xlsx,LM-03C — LB - B_KOD_U consistency audit.xlsx,bc678cf4c3c5d7a606f1feb8f9c7facb3ce6729caf7adf7a6762dcabd5e13906,9449,mapping-packs,INCLUDED
evidence/mapping-packs/LM-03D — C_IMP supplier master flow.xlsx,LM-03D — C_IMP supplier master flow.xlsx,b0d2bc2877060f852ab5633fe4b28c69987b6d1be575dc28525b1e30508ac933,96452,mapping-packs,INCLUDED
evidence/mapping-packs/LM-04A — detail všetkých logistických výnimiek.xlsx,LM-04A — detail všetkých logistických výnimiek.xlsx,cbf7493149930765f3ecd823e5fbdbbb330b2cd5c4cc88e6f8cbab3aabd17148,16415,mapping-packs,INCLUDED
evidence/mapping-packs/MP01-A — úplný fyzický inventár polí.xlsx,MP01-A — úplný fyzický inventár polí.xlsx,b1a74961812b6e902b775c00449e520fa08c97ccc27be6faa7e913e7e01dc98c,21480,mapping-packs,INCLUDED
evidence/mapping-packs/MP01-B — constraints SKLAD_KARTA.xlsx,MP01-B — constraints SKLAD_KARTA.xlsx,eb09e924ebc3e829241d5caad8894c87efac12db14c79ac73b0c5d4493c9a299,20346,mapping-packs,INCLUDED
evidence/mapping-packs/MP01-C — všetky deklarované FK smerujúce do SKLAD_KARTA.xlsx,MP01-C — všetky deklarované FK smerujúce do SKLAD_KARTA.xlsx,a4f14039138748bbd83bcb691eaa3c9766a01e02667a6089cc455fee224606b7,27832,mapping-packs,INCLUDED
evidence/mapping-packs/MP01-D — indexy.xlsx,MP01-D — indexy.xlsx,0b3651865820e6589b0299d4b09b1546ddcaa6a6bf7d50ddf90c5d50340632cd,10953,mapping-packs,INCLUDED
evidence/mapping-packs/MP01-E — triggery priamo nad SKLAD_KARTA.xlsx,MP01-E — triggery priamo nad SKLAD_KARTA.xlsx,e79448984d46d8f3c084a08fc8e9e20a45db763e61fe60afd7ca4edd087592de,10364,mapping-packs,INCLUDED
evidence/mapping-packs/MP01-F — objektová rodina SKLAD_KARTA.xlsx,MP01-F — objektová rodina SKLAD_KARTA.xlsx,21af757ebf3625bbb2641ab6661b5bc3a3fb3c3f3c82ad59f142fc794adcea05,12197,mapping-packs,INCLUDED
evidence/mapping-packs/MP01-G — direct dependency surface.xlsx,MP01-G — direct dependency surface.xlsx,7f86916cdb445b903173cf2d9c08b3b14e6aac7c8cf614498e6370bcfbeaecf7,24198,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-A — population + identity profile.xlsx,MP02-A — population + identity profile.xlsx,4a7030dfac4bb5596ffcfbbdee8a603f9c41fcfb8019adb071b7f36aceb1eafa,9466,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-B — hlavné value domains.xlsx,MP02-B — hlavné value domains.xlsx,904cb18473a494053ec03add6a49fbcd6e52d259c3ded1fe7153c05e607db4da,10743,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-C — temporal-audit profil.xlsx,MP02-C — temporal-audit profil.xlsx,fb6337600ea69de1f6291b90390f51d838cde174d57b1eeaa4ffb7d828125451,9555,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-D — balenie a množstevné master atribúty.xlsx,MP02-D — balenie a množstevné master atribúty.xlsx,781926185a6b40e8812ba8c25bdcd1152439ec8415480b6b8437a87f4e296fbf,9723,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-E — fyzické-logistické master atribúty.xlsx,MP02-E — fyzické-logistické master atribúty.xlsx,39c300c59239334bbd53140b480ad3bdfebb6142f3084d050875590b41209d76,9797,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-F — self-reference population.xlsx,MP02-F — self-reference population.xlsx,2fb1c39bf4336f6e701cf595ed035602690bcc95646cea8fbfd6322c2c844b36,9428,mapping-packs,INCLUDED
